name,actor_id,gender,character,actor_popularity,movie_id
David Olawale Ayinde,1504807.0,0.0,Spectre Party Guest,1.4,370172
Zoltan Rencsar,2807164.0,0.0,Spectre Bodyguard,1.015,370172
Ross Donnelly,3144894.0,0.0,Hotel Guest,0.6,370172
John Farrer,93752.0,2.0,Card Player,1.166,370172
Paul O'Kelly,1841458.0,2.0,Safin Henchman,0.6,370172
Michael G. Wilson,69678.0,2.0,Spectre Party Guest,4.605,370172
Gemma Chan,97576.0,1.0,Sersi,28.93,524434
Richard Madden,512991.0,2.0,Ikaris,16.589,524434
Angelina Jolie,11701.0,1.0,Thena,15.806,524434
Kumail Nanjiani,466505.0,2.0,Kingo,5.242,524434
Barry Keoghan,1290466.0,2.0,Druig,11.906,524434
Lauren Ridloff,2287101.0,1.0,Makkari,4.949,524434
Lia McHugh,1791619.0,1.0,Sprite,11.717,524434
Brian Tyree Henry,226366.0,2.0,Phastos,6.389,524434
Ma Dong-seok,1024395.0,2.0,Gilgamesh,8.306,524434
Salma Hayek,3136.0,1.0,Ajak,11.811,524434
Kit Harington,239019.0,2.0,Dane Whitman,6.923,524434
Harish Patel,53362.0,2.0,Karun,2.079,524434
David Kaye,84490.0,2.0,Arishem (voice),1.872,524434
Bill Skarsgård,137905.0,2.0,Kro (voice),12.678,524434
Haaz Sleiman,82103.0,2.0,Ben,1.845,524434
Esai Daniel Cross,3287131.0,0.0,Jack,0.615,524434
Alan Scott,3295361.0,2.0,Patrick,0.6,524434
Hannah Dodd,2301682.0,1.0,Sandra,1.052,524434
Adria Escudero,3202127.0,0.0,Diego,0.6,524434
Sebastian Viveros,2351641.0,0.0,Jano,1.38,524434
Nikkita Chadha,1535014.0,1.0,Bollywood Star,1.441,524434
Grahame Fox,662006.0,2.0,Kro On-Set Reader,3.565,524434
Zain Al Rafeea,2084595.0,2.0,Mesopotamian Young Man,2.447,524434
Alberto Rodríguez,1194331.0,0.0,Mesopotamian Father,0.98,524434
Lucia Efstathiou,2830449.0,0.0,Natural History Museum Student,0.84,524434
Derek Horsham,1510479.0,0.0,Ancient Babylon Smuggler #1,1.473,524434
Jeff Mirza,1229053.0,2.0,Gupta Hindu Priest,1.4,524434
Ascension Martinez Rubio,3295350.0,0.0,Mesopotamian Grandmother,0.6,524434
Ozer Ercan,2537484.0,0.0,Ancient Babylon Smuggler #2,0.98,524434
Ariadna Vadillo Soto,3301755.0,0.0,Ancient Babylon Farmer,0.6,524434
Orson Rosenberg,3301757.0,0.0,Aztec Child,0.6,524434
Harry Styles,1052109.0,2.0,Eros / Starfox,3.467,524434
Patton Oswalt,10872.0,2.0,Pip the Troll (voice),8.905,524434
Brenda Lorena Garcia,2378823.0,1.0,Babylon Villager (uncredited),0.947,524434
Sebastian Senior,3079424.0,0.0,Passerby (uncredited),0.6,524434
Chloe Stannage,3079426.0,0.0,Girl (uncredited),0.6,524434
Mahershala Ali,932967.0,2.0,Eric Brooks / Blade (voice) (uncredited),7.844,524434
Josephine Langford,1753914.0,1.0,Tessa Young,17.417,744275
Hero Fiennes Tiffin,1114487.0,2.0,Hardin Scott,9.114,744275
Louise Lombard,20805.0,1.0,Trish Daniels,5.718,744275
Chance Perdomo,2035329.0,2.0,Landon Gibson,3.057,744275
Rob Estes,20960.0,0.0,Ken Scott,9.808,744275
Arielle Kebbel,20373.0,1.0,"Kimberly ""Kim"" Vance",15.477,744275
Stephen Moyer,32203.0,2.0,Christian Vance,2.188,744275
Mira Sorvino,23931.0,1.0,Carol Young,4.183,744275
Frances Turner,1845809.0,1.0,Karen Scott,1.4,744275
Kiana Madeira,142115.0,1.0,Nora,9.685,744275
Carter Jenkins,86653.0,2.0,Robert,2.103,744275
Atanas Srebrev,67247.0,2.0,Richard Young,2.748,744275
Anton Kottas,2916706.0,2.0,Smith Vance,0.6,744275
Emmenuel Todorov,3293369.0,0.0,Mike,0.6,744275
Velizar Nikolaev Biney,3293373.0,0.0,Dr. West,0.6,744275
Matthew Hall,1934098.0,0.0,Bartender,0.6,744275
Angela Sari,3051460.0,0.0,Lillian,0.6,744275
Simon Fick,3293377.0,0.0,Foreboding Guy,0.6,744275
Samantha Fries,3293378.0,0.0,Young Tessa,0.6,744275
Ana Ivanova,1910292.0,0.0,Emery,0.6,744275
Clive-Leviev Sawyer,3293380.0,0.0,Minister,0.6,744275
Timothée Chalamet,1190668.0,2.0,Paul Atreides,16.532,438631
Rebecca Ferguson,933238.0,1.0,Lady Jessica Atreides,23.95,438631
Oscar Isaac,25072.0,2.0,Duke Leto Atreides,17.787,438631
Josh Brolin,16851.0,2.0,Gurney Halleck,12.458,438631
Stellan Skarsgård,1640.0,2.0,Baron Vladimir Harkonnen,8.791,438631
Dave Bautista,543530.0,2.0,Beast Rabban Harkonnen,10.665,438631
Sharon Duncan-Brewster,195666.0,1.0,Dr. Liet Kynes,5.931,438631
Stephen McKinley Henderson,196179.0,2.0,Thufir Hawat,3.546,438631
Zendaya,505710.0,1.0,Chani,22.405,438631
Chang Chen,1622.0,2.0,Dr. Wellington Yueh,5.421,438631
Charlotte Rampling,44079.0,1.0,Reverend Mother Gaius Helen Mohiam,8.714,438631
Jason Momoa,117642.0,2.0,Duncan Idaho,22.026,438631
Javier Bardem,3810.0,2.0,Stilgar,11.99,438631
David Dastmalchian,83854.0,2.0,Piter de Vries,8.113,438631
Babs Olusanmokun,205923.0,2.0,Jamis,2.186,438631
Golda Rosheuvel,1856875.0,1.0,Shadout Mapes,3.054,438631
Roger Yuan,2974.0,2.0,Lieutenant Lanville,2.183,438631
Benjamin Clémentine,3185383.0,2.0,Herald of the Change,1.382,438631
Souad Faress,261927.0,1.0,Bene Gesserit Sister,1.998,438631
Seun Shote,2411333.0,0.0,Arrakeen Residency Gardener,1.4,438631
Neil Bell,178629.0,2.0,Sardaukar Bashar,2.359,438631
Oliver Ryan,1638835.0,0.0,Hawat Specialist,1.62,438631
Stephen Collins,1929092.0,2.0,Harkonnen Trooper,1.4,438631
Charlie Rawes,1083177.0,2.0,Harkonnen Trooper,3.298,438631
Richard Carter,3275311.0,2.0,Harkonnen Trooper,1.4,438631
Benjamin Dilloway,1269682.0,2.0,Sardaukar Assassin,1.09,438631
Elmi Rashid Elmi,3063993.0,2.0,Shamir,0.98,438631
Tachia Newall,1466868.0,0.0,Tanat,1.4,438631
Gloria Obianyo,1982903.0,0.0,Female Fremen,1.708,438631
Fehinti Balogun,2160722.0,0.0,Male Fremen,1.38,438631
Dora Kápolnai-Schvab,3314410.0,1.0,Baron Servant,1.38,438631
Joelle Amery,3314411.0,1.0,Baron Servant,0.98,438631
Jimmy Walker,2158768.0,2.0,Atreides Lieutenant,1.385,438631
Paul Bullion,1488465.0,0.0,Sardaukar Soldier,1.528,438631
Milena Sidorova,3314417.0,0.0,Human Spider Proxy,1.38,438631
János Timkó,2059373.0,0.0,Harkonnen Guard,1.38,438631
Jean Gilpin,59051.0,1.0,Bene Gesserit Ancestor (voice),1.4,438631
Marianne Faithfull,19995.0,1.0,Bene Gesserit Ancestor (voice),1.4,438631
Ellen Dubin,53934.0,1.0,Bene Gesserit Ancestor (voice),2.01,438631
Ryan Reynolds,10859.0,2.0,Guy,61.902,550988
Jodie Comer,1388593.0,1.0,Millie Rusk / Molotovgirl,19.867,550988
Joe Keery,1467219.0,2.0,Walter 'Keys' McKeys,7.386,550988
Lil Rel Howery,1488961.0,2.0,Buddy,4.665,550988
Utkarsh Ambudkar,929511.0,2.0,Mouser,5.068,550988
Taika Waititi,55934.0,2.0,Antwan Hovachelik,11.077,550988
Channing Tatum,38673.0,2.0,Revenjamin Buttons,11.627,550988
Aaron W Reed,3158217.0,2.0,Dude,0.674,550988
Britne Oldford,543523.0,1.0,Barista,2.553,550988
Camille Kostek,2128152.0,1.0,Bombshell,1.61,550988
Mark Lainer,1996565.0,0.0,Hostage,1.4,550988
Mike Devine,3158223.0,0.0,Officer Johnny,0.6,550988
Sophie Levy,1126350.0,1.0,Big City Dreamer,1.279,550988
Vernon Scott,1781529.0,0.0,Bank Manager,0.98,550988
Naheem Garcia,1745909.0,2.0,Convenience Store Owner Joe,2.101,550988
Anabel Graetz,1945796.0,0.0,Cat Lady Phyllis,0.828,550988
Ric Plamenco,2021032.0,0.0,Ice Cream Vendor,0.6,550988
Kenneth Israel,1737299.0,0.0,Businessman,1.052,550988
Michael Malvesti,2029531.0,0.0,Newsstand Vendor,0.662,550988
Colin Allen,1156040.0,2.0,Shoe Store Clerk,0.6,550988
Michael Tow,1593000.0,2.0,Rain Man,0.886,550988
Hugh Jackman,6968.0,2.0,Masked Player in Alley (voice),14.64,550988
Dwayne Johnson,18918.0,2.0,Bank Robber #2 (voice),74.449,550988
Tina Fey,56323.0,1.0,Vacuuming Mom (voice),4.641,550988
John Krasinski,17697.0,2.0,Silhouetted Gamer (voice),6.677,550988
Chris Evans,16828.0,2.0,Chris Evans,11.694,550988
Alex Trebek,158208.0,2.0,Alex Trebek,1.865,550988
Lara Spencer,1215539.0,1.0,Lara Spencer,1.027,550988
Matthew Cardarople,979412.0,2.0,"Keith, the 22-Year-Old Gamer",5.264,550988
Jonathan De Azevedo,3158232.0,2.0,Jonathan,0.734,550988
Destiny Claymore,3158235.0,1.0,Art Nerd,0.6,550988
Ninja,2827430.0,2.0,Ninja,0.6,550988
Imane Anys,2610062.0,1.0,Pokimane,0.67,550988
Lannan Eacott,2610063.0,2.0,Lazarbeam,0.6,550988
Seán McLoughlin,1777399.0,2.0,Jacksepticeye,0.6,550988
DanTDM,2932608.0,2.0,DanTDM,0.6,550988
Charlotte Levy,2413540.0,1.0,Tween Gamer Girl,0.6,550988
Colette Levy,3307356.0,1.0,Foul-Mouthed Little Sister,0.6,550988
Mariama Conde,3158238.0,1.0,Teenage Girl,0.6,550988
Olivia Z. Cote,3311353.0,1.0,Teenage Girl,0.6,550988
Ryan Doyle,585676.0,0.0,Teenage Boy,0.6,550988
Bob Gilliam,1379451.0,0.0,Free City News Anchor,0.6,550988
Terri Schwartz,3158237.0,0.0,IGN Reporter,0.6,550988
Eugene Nomura,1104811.0,2.0,Japanese Reporter,1.96,550988
Euri Nomura,3311354.0,0.0,Hinata,0.6,550988
Octavia Chavez-Richmond,1572144.0,1.0,Real World Coffee Shop Server,0.659,550988
Raj Jawa,1262631.0,2.0,Quad-Screen Gamer,0.6,550988
Charlie Lehmer,2147626.0,0.0,Quad-Screen Gamer,0.6,550988
Elainy Mata,3158239.0,0.0,Quad-Screen Gamer,0.6,550988
Jack McLaglen,3158240.0,0.0,Quad-Screen Gamer,0.6,550988
Jose Guns Alves,1849970.0,2.0,Soonami Security Guard,1.038,550988
Minh-Anh Day,3158241.0,0.0,Soonami Employee,0.6,550988
Ella Faria,3158244.0,1.0,Austrian Female Gamer,0.6,550988
Francisco Marquez,3158230.0,2.0,Bank Robber #1,0.6,550988
Owen Burke,133068.0,2.0,Bank Robber #2,2.606,550988
Timothy John Smith,1419122.0,2.0,Bank Robber #3,0.6,550988
Justin Johnston,87930.0,2.0,Bank Robber #4,0.6,550988
Patrick Vincent Curran,1856188.0,0.0,Masked Player in Alley,0.6,550988
Lily Steven,3158242.0,0.0,20-Year-Old Female Gamer,0.6,550988
Gabrielle Lorthe,2090161.0,1.0,20-Year-Old Female Gamer,1.226,550988
Briana Mitchell,3158243.0,0.0,20-Year-Old Female Gamer,0.6,550988
Rosario Corso,2100863.0,0.0,Silhouetted Gamer,0.648,550988
Regina Taufen,1728454.0,1.0,Vacuuming Mom,0.6,550988
Liam Campos,3158245.0,0.0,Kid Gamer,0.6,550988
Piper Acord,3311359.0,1.0,Contestant,0.6,550988
Brett Schneider,1233084.0,2.0,Contestant,0.6,550988
Omar Ghonim,2465122.0,2.0,Carjacking Victim (uncredited),0.6,550988
Tait Fletcher,1105706.0,2.0,Viking Warrior NPC (uncredited),8.081,550988
Domenic Arduino,3314389.0,2.0,Soonami Tech (uncredited),0.6,550988
Andrew Garfield,37625.0,2.0,Peter Parker / Spider-Man,61.898,1930
Emma Stone,54693.0,1.0,Gwen Stacy,20.653,1930
Rhys Ifans,7026.0,2.0,Dr. Curt Connors / The Lizard,8.241,1930
Denis Leary,5724.0,2.0,Captain Stacy,4.666,1930
Martin Sheen,8349.0,2.0,Uncle Ben,4.846,1930
Sally Field,35.0,1.0,Aunt May,5.948,1930
Max Charles,558928.0,2.0,Peter Parker (Age 4),2.935,1930
Campbell Scott,55152.0,2.0,Richard Parker,5.707,1930
Embeth Davidtz,6368.0,1.0,Mary Parker,9.766,1930
Chris Zylka,231547.0,2.0,Flash Thompson,3.196,1930
Irrfan Khan,76793.0,2.0,Rajit Ratha,3.038,1930
C. Thomas Howell,2878.0,2.0,Jack's Father,8.191,1930
Jake Keiffer,1315833.0,2.0,Jack,1.96,1930
Hannah Marks,59261.0,1.0,Missy Kallenback,5.47,1930
Kari Coleman,156989.0,1.0,Helen Stacy,1.96,1930
Michael Barra,1338023.0,0.0,Store Clerk,0.6,1930
Leif Gantvoort,1111328.0,2.0,Cash Register Thief,0.6,1930
Andy Pessoa,1232365.0,2.0,Gordon,1.073,1930
Kelsey Asbille,205976.0,1.0,Sally Avril,13.284,1930
Kevin McCorkle,91658.0,2.0,Mr. Cramer,2.076,1930
Andy Gladbach,1338034.0,0.0,Physics Nerd,0.6,1930
Ring Hendricks-Tellefsen,1338061.0,2.0,Physics Nerd,1.22,1930
Barbara Eve Harris,157146.0,1.0,Miss Ritter,1.226,1930
Stan Lee,7624.0,2.0,School Librarian,9.652,1930
Danielle Burgio,96753.0,1.0,Nicky's Girlfriend,3.959,1930
Tom Waite,1338215.0,2.0,Nicky,0.98,1930
Keith Campbell,15318.0,2.0,Car Thief,1.22,1930
Steve DeCastro,66668.0,0.0,Car Thief Cop,0.6,1930
Jill Flint,118494.0,1.0,Receptionist,3.167,1930
Mark Daugherty,1183671.0,2.0,OsCorp Intern,1.285,1930
Milton González,1657618.0,2.0,Rodrigo Guevara,0.6,1930
Skyler Gisondo,61263.0,2.0,Howard Stacy,6.668,1930
Charlie DePew,1424715.0,2.0,Philip Stacy,1.4,1930
Jacob Rodier,930322.0,2.0,Simon Stacy,0.6,1930
Vincent Laresca,1983.0,2.0,Construction Worker,0.871,1930
Damien Lemon,1477809.0,2.0,Taxi Driver,1.38,1930
Ty Upshaw,1236007.0,2.0,Police Officer with Sketch,2.086,1930
James Chen,932116.0,2.0,Police Officer,1.48,1930
Alexander Bedria,979075.0,2.0,Officer (SWAT),0.6,1930
Tia Texada,68430.0,1.0,Sheila (Subway),1.599,1930
Jay Caputo,14050.0,2.0,Subway Guy,0.6,1930
John Burke,58510.0,2.0,Newscaster (News Chopper),0.98,1930
Terry Bozeman,1219576.0,2.0,Principal,1.55,1930
Jennifer Lyons,63470.0,1.0,Second Girl (Subway),1.566,1930
Michael Massee,9289.0,2.0,Man in the Shadows,5.103,1930
Amber Stevens West,1187106.0,1.0,Ariel,2.775,1930
Max Bogner,1355105.0,2.0,Scientist (uncredited),0.6,1930
Ethan Cohn,63280.0,2.0,Lab Technician (uncredited),1.96,1930
Zoey Deutch,1059597.0,1.0,Gossip Girl (uncredited),8.925,1930
Miles Elliot,984614.0,2.0,Billy Connors (uncredited),1.4,1930
Miranda LaDawn Hill,1657642.0,1.0,Cheerleader (uncredited),0.6,1930
Amanda MacDonald,167263.0,1.0,Goth Girl (uncredited),0.648,1930
Maury Morgan,1657643.0,1.0,Tina (uncredited),0.6,1930
Michael Papajohn,20582.0,2.0,Alfie (uncredited),2.349,1930
Tom Hardy,2524.0,2.0,Eddie Brock / Venom,54.691,335983
Michelle Williams,1812.0,1.0,Anne Weying,12.515,335983
Riz Ahmed,53240.0,2.0,Carlton Drake / Riot,4.029,335983
Scott Haze,87954.0,2.0,Security Chief Roland Treece,1.443,335983
Reid Scott,81316.0,2.0,Dr. Dan Lewis,3.655,335983
Jenny Slate,213001.0,1.0,Dr. Dora Skirth,5.141,335983
Melora Walters,4766.0,1.0,Homeless Woman Maria,5.297,335983
Woody Harrelson,57755.0,2.0,Cletus Kasady / Carnage,20.002,335983
Peggy Lu,2141479.0,1.0,Mrs. Chen,4.432,335983
Malcolm C. Murray,1765806.0,2.0,Lewis Donate,0.6,335983
Sope Aluko,1431508.0,1.0,Dr. Collins,0.84,335983
Wayne Pére,31528.0,2.0,Dr. Emerson,1.896,335983
Michelle Lee,101065.0,1.0,Malaysia EMT / Riot Host,2.086,335983
Kurt Yue,2068598.0,2.0,Mission Control Translator,1.4,335983
Chris O'Hara,1387252.0,2.0,Astronaut J. J. Jameson III,1.427,335983
Emilio Rivera,53257.0,2.0,Lobby Guard Richard,2.309,335983
Amelia Young,2141521.0,1.0,Allie,0.6,335983
Ariadne Joseph,1642892.0,1.0,Eddie's TV Producer,0.6,335983
Deen Brooksher,2141510.0,0.0,Drake Interview Guard #1,0.6,335983
David Jones,2141520.0,2.0,Drake Interview Guard #2,0.6,335983
Roger Yuan,2974.0,2.0,Village Eel Shop Owner,2.183,335983
Woon Young Park,61705.0,2.0,Malaysia Village Tough #1,1.264,335983
Patrick Chundah Chu,2141516.0,0.0,Malaysia Village Tough #2,0.694,335983
Vickie Eng,208316.0,1.0,Elderly Village Woman / Riot Host,0.84,335983
Mac Brandt,1215837.0,2.0,Jack the Bartender,2.318,335983
Nick Thune,216147.0,2.0,Beardo at Bar,1.702,335983
Michael Dennis Hill,2191401.0,2.0,Reporter on TV,1.4,335983
Sam Medina,1044954.0,2.0,Shakedown Thug,0.965,335983
Scott Deckert,2023715.0,2.0,Noisy Neighbor Ziggy,1.094,335983
Lauren Richards,2191402.0,1.0,Ziggy's Girlfriend,1.528,335983
Jared Bankens,1668606.0,2.0,Isaac / Blue Host,0.6,335983
Lucas Fleischer,105714.0,2.0,Guard at Gate,1.932,335983
Michael Burgess,1401994.0,2.0,Flight Technician,0.728,335983
Diesel Madkins,1685538.0,2.0,Lab Security Guard,1.96,335983
Rxchie,2141502.0,2.0,Guard /  Riot,1.099,335983
Otis Winston,1736538.0,2.0,Chasing Guard,0.6,335983
Zeva DuVall,2191406.0,1.0,Little Girl / Riot Host,0.6,335983
Selena Anduze,1853396.0,1.0,Bistro Manager,2.963,335983
